Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,TWTR,AAPL,GOOG,TWTR,AAPL,GOOG,TWTR,AAPL,GOOG,TWTR,AAPL,GOOG,TWTR,AAPL,GOOG,TWTR
Date,,,,,,,,,,,,,,,,,,
2020-01-02,73.05941772460938,68.36849975585938,,75.0875015258789,68.36849975585938,,75.1500015258789,68.40699768066406,,73.79750061035156,67.07749938964844,,74.05999755859375,67.07749938964844,,135480400,28132000,
2020-01-03,72.34912872314453,68.03299713134766,,74.35749816894531,68.03299713134766,,75.1449966430664,68.625,,74.125,67.2771987915039,,74.2874984741211,67.39299774169922,,146322800,23728000,
2020-01-06,72.92562866210938,69.71050262451172,,74.94999694824219,69.71050262451172,,74.98999786376953,69.82499694824219,,73.1875,67.5,,73.44750213623047,67.5,,118387200,34646000,
2020-01-07,72.58265686035156,69.66699981689453,,74.59750366210938,69.66699981689453,,75.2249984741211,70.14949798583984,,74.37000274658203,69.51899719238281,,74.95999908447266,69.89700317382812,,108872000,30054000,
2020-01-08,73.750244140625,70.21600341796875,,75.79750061035156,70.21600341796875,,76.11000061035156,70.5790023803711,,74.29000091552734,69.54199981689453,,74.29000091552734,69.60399627685547,,132079200,30560000,
2020-01-09,75.3167724609375,70.99150085449219,,77.40750122070312,70.99150085449219,,77.60749816894531,71.36650085449219,,76.55000305175781,70.51349639892578,,76.80999755859375,71.02850341796875,,170108400,30018000,
2020-01-10,75.48703002929688,71.48650360107422,,77.5824966430664,71.48650360107422,,78.1675033569336,71.74645233154297,,77.0625,70.9175033569336,,77.6500015258789,71.37799835205078,,140644800,36414000,
2020-01-13,77.09976196289062,71.96150207519531,,79.23999786376953,71.96150207519531,,79.26750183105469,72.0260009765625,,77.7874984741211,71.3010025024414,,77.91000366210938,71.80650329589844,,121532000,33046000,
2020-01-14,76.05867767333984,71.54399871826172,,78.16999816894531,71.54399871826172,,79.39250183105469,72.08999633789062,,78.0425033569336,71.41850280761719,,79.17500305175781,71.95050048828125,,161954400,31178000,
2020-01-15,75.73270416259766,71.95999908447266,,77.83499908447266,71.95999908447266,,78.875,72.06974792480469,,77.38749694824219,71.510498046875,,77.9625015258789,71.510498046875,,121923600,25654000,
2020-01-16,76.6813735961914,72.58499908447266,,78.80999755859375,72.58499908447266,,78.92500305175781,72.59950256347656,,78.02249908447266,72.0459976196289,,78.39749908447266,72.37200164794922,,108829200,23474000,
2020-01-17,77.53031921386719,74.01950073242188,,79.68250274658203,74.01950073242188,,79.68499755859375,74.06475067138672,,78.75,72.91100311279297,,79.06749725341797,73.14550018310547,,137816400,47924000,
2020-01-21,77.0049057006836,74.22000122070312,,79.14250183105469,74.22000122070312,,79.75499725341797,74.59249877929688,,79.0,73.55999755859375,,79.29750061035156,73.95600128173828,,110843200,40734000,
2020-01-22,77.27978515625,74.29750061035156,,79.42500305175781,74.29750061035156,,79.99749755859375,75.16069793701172,,79.32749938964844,74.24649810791016,,79.6449966430664,74.55000305175781,,101832400,32216000,
2020-01-23,77.65193176269531,74.3324966430664,,79.80750274658203,74.3324966430664,,79.88999938964844,74.7760009765625,,78.9124984741211,74.1050033569336,,79.4800033569336,74.38200378417969,,104472000,27024000,
2020-01-24,77.42814636230469,73.33550262451172,,79.57749938964844,73.33550262451172,,80.8324966430664,74.77474975585938,,79.37999725341797,73.26249694824219,,80.0625,74.67949676513672,,146537600,35692000,
