united states,tag,,,currency,id,,symbol
united states,polymath-network,,,USD,1062867,,POLY
united states,swipe,,,USD,1153119,,SXP
united states,maidsafecoin,,,USD,1061775,,MAID
united states,,,,,,,ANC
united states,,,,,,,MATH
united states,,,,,,,STETH
united states,,,,,,,SUPER
united states,civic,,,USD,1061792,,CVC
united states,,,,,,,GNY
united states,,,,,,,IQ
united states,trueusd,,,USD,1094123,,TUSD
united states,band-protocol,,,USD,1162249,,BAND
united states,ardor,,,USD,1066631,,ARDR
united states,steem,,,USD,1066620,,STEEM
united states,orchid,,,USD,1165457,,OXT
united states,aragon,,,USD,1061805,,ANT
united states,,,,,,,ROSE
united states,,,,,,,HTR
united states,quarkchain,,,USD,1094200,,QKC
united states,,,,,,,META
united states,,,,,,,AMP
united states,,,,,,,BORA
united states,origintrail,,,USD,1094112,,TRAC
united states,utrust,,,USD,1066740,,UTK
united states,serum,,,USD,1165355,,SRM
united states,,,,,,,NU
united states,,,,,,,SWAP
united states,medibloc,,,USD,1057909,,MED
united states,mainframe,,,USD,1094108,,MFT
united states,storj,,,USD,1061814,,STORJ
united states,,,,,,,POLS
united states,origin-protocol,,,USD,1159451,,OGN
united states,bitshares,,,USD,1066619,,BTS
united states,numeraire,,,USD,1071193,,NMR
united states,,,,,,,AVA
united states,komodo,,,USD,1066628,,KMD
united states,bitcoin-diamond,,,USD,1061454,,BCD
united states,,,,,,,vBTC
united states,,,,,,,VLX
united states,ampleforth,,,USD,1165462,,AMPL
united states,,,,,,,EDG
united states,,,,,,,BETR
united states,,,,,,,ALICE
united states,,,,,,,RIF
united states,,,,,,,BTCST
united states,,,,,,,AUDIO
united states,,,,,,,TROY
united states,,,,,,,EAURIC
united states,singularitynet,,,USD,1062540,,AGI
united states,,,,,,,CRE
united states,gnosis-gno,,,USD,1061779,,GNO
united states,,,,,,,AKT
united states,,,,,,,JST
united states,,,,,,,BTCST
united states,stratis,,,USD,1061480,,STRAX
united states,,,,,,,INJ
united states,ark,,,USD,1066624,,ARK
united states,tomochain,,,USD,1094109,,TOMO
united states,,,,,,,SPND
united states,irisnet,,,USD,1165358,,IRIS
united states,pac-global,,,USD,1167217,,PAC
united states,wanchain,,,USD,1094148,,WAN
united states,,,,,,,DKA
united states,,,,,,,KAI
united states,abbc-coin,,,USD,1123468,,ABBC
united states,,,,,,,vXVS
united states,,,,,,,RAY
united states,district0x,,,USD,1061802,,DNT
united states,aelf,,,USD,1061493,,ELF
united states,,,,,,,SCRT
united states,,,,,,,WOO
united states,syscoin,,,USD,1062226,,SYS
united states,,,,,,,HIVE
united states,,,,,,,SHR
united states,,,,,,,AXS
united states,zb-token,,,USD,1153122,,ZB
united states,cybervein,,,USD,1075363,,CVT
united states,,,,,,,LIT
united states,rlc,,,USD,1061829,,RLC
united states,,,,,,,PERP
united states,,,,,,,BAKE
united states,,,,,,,USDN
united states,,,,,,,AKRO
united states,,,,,,,TT
united states,,,,,,,TVK
united states,,,,,,,DDX
united states,,,,,,,MFT
united states,,,,,,,EUM
united states,loom-network,,,USD,1076799,,LOOM
united states,,,,,,,XOR
united states,,,,,,,UOS
united states,haven-protocol,,,USD,1079296,,XHV
united states,power-ledger,,,USD,1066644,,POWR
united states,,,,,,,CHR
united states,,,,,,,ERN
united states,,,,,,,MLN
united states,,,,,,,DEGO
united states,unibright,,,USD,1089397,,UBT
united states,,,,,,,GALA
united states,helleniccoin,,,USD,1061876,,HNC
united states,,,,,,,SPI
united states,populous,,,USD,1066630,,PPT
united states,,,,,,,SRK
united states,,,,,,,LTO
united states,,,,,,,MWC
united states,,,,,,,NOIA
united states,,,,,,,OXY
united states,,,,,,,PRQ
united states,,,,,,,TWT
united states,,,,,,,LON
united states,,,,,,,SUN
united states,,,,,,,XCM
united states,,,,,,,GT
united states,,,,,,,VAI
united states,,,,,,,RPL
united states,bytom,,,USD,1061455,,BTM
united states,,,,,,,NYE
united states,,,,,,,TSHP
united states,,,,,,,OM
united states,,,,,,,PHA
united states,,,,,,,SUSD
united states,adx-net,,,USD,1061473,,ADX
united states,divi,,,USD,1071294,,DIVI
united states,centrality,,,USD,1094126,,CENNZ
united states,request,,,USD,1061806,,REQ
united states,,,,,,,FARM
united states,,,,,,,MBL
united states,,,,,,,UQC
united states,,,,,,,BLCT
united states,efforce,,,USD,1168122,,WOZX
united states,,,,,,,EXRD
united states,,,,,,,DAO
united states,,,,,,,SAPP
united states,,,,,,,RAMP
united states,,,,,,,RGT
united states,redd,,,USD,1062541,,RDD
united states,,,,,,,DUSK
united states,aion,,,USD,1062228,,AION
united states,,,,,,,WHALE
united states,,,,,,,KARMA
united states,gas,,,USD,1061780,,GAS
united states,elastos,,,USD,1094122,,ELA
united states,,,,,,,HNS
united states,,,,,,,MASK
united states,library-credit,,,USD,1066762,,LBC
united states,,,,,,,SFI
united states,energi,,,USD,1123392,,NRG
united states,streamr,,,USD,1061487,,DATA
united states,,,,,,,GRN
united states,,,,,,,WIN
united states,monacoin,,,USD,1066645,,MONA
united states,wazirx,,,USD,1156834,,WRX
united states,,,,,,,KSP
united states,,,,,,,SUKU
united states,,,,,,,BNANA
united states,,,,,,,BIOT
united states,gemini-dollar,,,USD,1117721,,GUSD
united states,metal,,,USD,1061893,,MTL
united states,,,,,,,ATRI
united states,refereum,,,USD,1094077,,RFR
united states,,,,,,,HARD
united states,selfkey,,,USD,1066732,,KEY
united states,solve,,,USD,1135944,,SOLVE
united states,,,,,,,ATT
united states,,,,,,,PIB
united states,,,,,,,LAMB
united states,ignis,,,USD,1065171,,IGNIS
united states,,,,,,,MLK
united states,,,,,,,FRM
united states,,,,,,,REVV
united states,,,,,,,HEGIC
united states,,,,,,,FRAX
united states,zenon,,,USD,1142186,,ZNN
united states,,,,,,,SURE
united states,,,,,,,COS
united states,nimiq,,,USD,1089741,,NIM
united states,,,,,,,BEL
united states,,,,,,,YOUC
united states,,,,,,,PAXG
united states,waltonchain,,,USD,1061486,,WTC
united states,nkn,,,USD,1093936,,NKN
united states,,,,,,,MRPH
united states,,,,,,,MBN
united states,,,,,,,DG
united states,,,,,,,AMO
united states,,,,,,,PCX
united states,drep,,,USD,1162990,,DREP
united states,,,,,,,XNC
united states,beam,,,USD,1142597,,BEAM
united states,,,,,,,DIA
united states,,,,,,,RNDR
united states,,,,,,,CTK
united states,bytecoin-bcn,,,USD,1036970,,BCN
united states,,,,,,,NFTX
united states,bluzelle,,,USD,1065485,,BLZ
united states,,,,,,,MASS
united states,cartesi,,,USD,1163308,,CTSI
united states,,,,,,,BZRX
united states,,,,,,,vUSDC
