country,name,full_name,symbol,,id,,tag
france,SG Call 6 CREDIT AGRICOLE 31Dec99,SG ISSUER Call 6 EUR CREDIT AGRICOLE 31Dec99,LU1383125850,,1117370,,sg-call-6-credit-agricole-31dec99
france,SG Call 65.52 CAP GEMINI 31Dec99,SG ISSUER Call 65.52 EUR CAP GEMINI 31Dec99,LU1357398988,,1117371,,sg-call-65.52-cap-gemini-31dec99
france,SG Call 68.64 EUR ORPEA 31Dec99,SG ISSUER Call 68.64 EUR ORPEA 31Dec99,LU1428456526,,1117372,,sg-call-68.64-eur-orpea-31dec99
france,SG ZT NYMEX LS CRUDE 09/16 31Dec99,SG ISSUER ZT  NYMEX LS CRUDE 09/16 31Dec99,FR0013198488,,1117373,,sg-zt-nymex-ls-crude-09-16-31dec99
france,SG Call 58 SANOFI-AVENTIS 31Dec99,SG ISSUER Call 58 EUR SANOFI-AVENTIS 31Dec99,LU1476973760,,1117369,,sg-call-58-sanofi-aventis-31dec99
france,SG ZT Gold x 5 Short 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Gold x 5 Short 31Dec99,FR0011334861,,1117383,,sg-zt-gold-x-5-short-31dec99
france,SG ZT WTI Fut 5X ShLev Ind 31Dec99,SG ISSUER ZT  WTI Fut 5X ShLev Ind 31Dec99,FR0013112778,,1117375,,sg-zt-wti-fut-5x-shlev-ind-31dec99
france,SG Call 16.64 EUR AXA 31Dec99,SOCIETE GENERALE Call 16.64 EUR AXA 31Dec99,FR0012500965,,1117377,,sg-call-16.64-eur-axa-31dec99
france,SG Call 18.38 EUR ALSTOM 31Dec99,SG ISSUER Call 18.38 EUR ALSTOM 31Dec99,LU1357395968,,1117362,,sg-call-18.38-eur-alstom-31dec99
france,SG Call WTI CRUDE 31Dec99,Societe Generale Effekten GMBH Call   WTI CRUDE 31Dec99,FR0010583914,,1117378,,sg-call-wti-crude-31dec99
france,SG Call ICE BRENT 05/12 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH Call  ICE BRENT 05/12 31Dec99,FR0011231844,,1117379,,sg-call-ice-brent-05-12-31dec99
france,SG ZT Brent x 5 Short 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Brent x 5 Short 31Dec99,FR0011334887,,1117380,,sg-zt-brent-x-5-short-31dec99
france,SG ZT GOLD 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  GOLD 31Dec99,FR0010956383,,1117381,,sg-zt-gold-31dec99
france,SG ZT Gold x 5 Lev 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Gold x 5 Lev 31Dec99,FR0011334846,,1117382,,sg-zt-gold-x-5-lev-31dec99
france,SG ZT WTI Fut 5X Lev Ind 31Dec99,SG ISSUER ZT  WTI Fut 5X Lev Ind 31Dec99,FR0013112786,,1117374,,sg-zt-wti-fut-5x-lev-ind-31dec99
france,SG ZT GOLD X10 LEV 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  GOLD X10 LEV 31Dec99,FR0011815034,,1117384,,sg-zt-gold-x10-lev-31dec99
germany,BNP KOSPI 200 Index 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV ZT KOSPI 200 Index 31Dec99,DE571515,,1119021,,bnp-kospi-200-index-31dec99
germany,BNP ZT MSCI Daily TR Net EM Indones,BNP Paribas Arbitrage Issuance B.V. ZT MSCI Daily TR Net EM Indonesia Local 31Dec99,DEAA12MX,,1119030,,bnp-zt-msci-daily-tr-net-em-indones
germany,BNP ZT RBS AUD TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS AUD Total Return Index 31Dec99,DE918740,,1119031,,bnp-zt-rbs-aud-tr-index-31dec99
germany,BNP DAXplus Maximum Sharpe Ger TR,BNP Paribas Arbitrage Issuance B.V. ZT DAXplus Maximum Sharpe Ratio Germany EUR Total Return Index 3,DEAA0KF0,,1119019,,bnp-daxplus-maximum-sharpe-ger-tr
germany,BNP Call MSCI Colombia 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call MSCI Colombia 31Dec99,DEAA2RDF,,1119016,,bnp-call-msci-colombia-31dec99
germany,BNP ZT RBS CHF TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS CHF Total Return Index 31Dec99,DE918741,,1119032,,bnp-zt-rbs-chf-tr-index-31dec99
germany,BNP Call MSCI New Zealand 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call MSCI New Zealand 31Dec99,DEAA209B,,1119017,,bnp-call-msci-new-zealand-31dec99
germany,BNP ZT DAXplus Minimum Variance PR,BNP Paribas Arbitrage Issuance B.V. ZT DAXplus Minimum Variance US USD Price Return Index 31Dec99,DEAA0KF1,,1119027,,bnp-zt-daxplus-minimum-variance-pr
germany,BNP Paribas ZT MSCI Russia 31Dec99,BNP Paribas ZT MSCI Russia 31Dec99,DEBN2RUS,,1119022,,bnp-paribas-zt-msci-russia-31dec99
germany,BNP Call RBS Generic Drugs TR Index,BNP Paribas Arbitrage Issuance B.V. Call RBS Generic Drugs Total Return Index 31Dec99,DEABN9PP,,1119018,,bnp-call-rbs-generic-drugs-tr-index
germany,BNP ZT BNP Vietnam Price Return,BNP Paribas Arbitrage Issuance B.V. ZT BNP Paribas Arbitrage Issuance B.V. Vietnam Price Return Inde,DEAA0KE8,,1119023,,bnp-zt-bnp-vietnam-price-return
germany,BNP Call ZAR USD/ZAR,BNP Paribas Arbitrage Issuance B.V. Call USD ZAR US-Dollar S dafrikanischer Rand 31Dec99,DEAA0KSF,,1118980,,bnp-call-zar-usd-zar
germany,BNP ZT DAXGlobal Agribusiness Price,BNP Paribas Arbitrage Issuance B.V. ZT DAXGlobal Agribusiness EUR Price Index 31Dec99,DEAA0KGG,,1119025,,bnp-zt-daxglobal-agribusiness-price
germany,BNP ZT DAXGlobal Russia RUB PR,BNP Paribas Arbitrage Issuance B.V. ZT DAXGlobal Russia RUB Price Return Index 31Dec99,DEABN98G,,1119026,,bnp-zt-daxglobal-russia-rub-pr
germany,BNP ZT HANG SENG 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT HANG SENG 31Dec99,DE685964,,1119029,,bnp-zt-hang-seng-31dec99
