country,name,full_name,,tag,id,isin,symbol,currency,stock_exchange,def_stock_exchange
united kingdom,VanEck Vectors Gold Miners UK,VanEck Vectors Gold Miners UCITS A,,market-vectors-gold-miners-uk,956297,IE00BQQP9F84,GDX,USD,London,TRUE
united kingdom,VanEck Vectors Morningstar US Wide Moat,VanEck Vectors Morningstar US Wide Moat UCITS,,vaneck-vectors-mstar-us-wide-moat,1024386,IE00BQQP9H09,MOAT,USD,London,TRUE
united kingdom,VanEck Junior Gold Miners,VanEck Vectors™ Junior Gold Miners UCITS ETF,,market-vectors-junior-gold-miner-uk,956284,IE00BQQP9G91,GDXJ,USD,London,TRUE
united kingdom,VanEck Vectors Video Gaming and eSports UCITS,VanEck Vectors Video Gaming and eSports UCITS ETF A USD,,vaneck-vectors-videogameesports-gbp?cid=1141338,1141338,IE00BYWQWR46,ESPO,USD,London,FALSE
united kingdom,VanEck Vectors J.P. Morgan EM Local Currency Bond,VanEck Vectors J.P. Morgan EM Local Currency Bond UCITS A Acc,,vaneck-vect-jpm-em-lcl-currbd-a-acc,1013266,IE00BDS67326,EMLC,USD,London,TRUE
united kingdom,VanEck Vectors Global Fallen Angel High Yield Bond,VanEck Vectors Global Fallen Angel High Yield Bond UCITS USD,,vaneckvectors-glfllnanglhiyldbd-usd,1073353,IE00BF540Z61,GFA,USD,London,TRUE
united kingdom,VanEck Vectors Global Fallen Angel High Yield Bond,VanEck Vectors Global Fallen Angel High Yield Bond UCITS GBP,,vaneckvectors-glfllnanglhiyldbd-usd?cid=1073354,1073354,IE00BF540Z61,GFGB,GBP,London,FALSE
united kingdom,VanEck Vectors Emerging Markets High Yield Bond UC,VanEck Vectors Emerging Markets High Yield Bond UCITS USD,,vaneck-vectors-em-high-yldbnd-usd,1073355,IE00BF541080,HYEM,USD,London,TRUE
united kingdom,VanEck Vectors Emerging Markets High Yield Bond UC,VanEck Vectors Emerging Markets High Yield Bond UCITS GBP,,vaneck-vectors-em-high-yldbnd-usd?cid=1073356,1073356,IE00BF541080,HYGB,GBP,London,FALSE
united kingdom,VanEck Vectors Video Gaming and eSports UCITS,VanEck Vectors Video Gaming and eSports UCITS ETF A USD,,vaneck-vectors-videogameesports-gbp,1141328,IE00BYWQWR46,ESGB,GBP,London,TRUE
united kingdom,Vanguard FTSE 250,Vanguard FTSE 250 UCITS,,vanguard-ftse-250-l,986861,IE00BKX55Q28,VMID,GBP,London,TRUE
united kingdom,Vanguard FTSE Emerging Markets UCITS USD Inc,Vanguard FTSE Emerging Markets UCITS,,vanguard-ftse---emerging-markets,45681,IE00B3VVMM84,VFEM,GBP,London,TRUE
united kingdom,Vanguard S&P 500 UCITS USD Inc,Vanguard S&P 500 UCITS,,vanguard-s-p-500-uk?cid=986882,986882,IE00B3XXRP09,VUSD,USD,London,FALSE
united kingdom,Vanguard S&P 500 UCITS USD Inc,Vanguard S&P 500 UCITS,,vanguard-s-p-500-uk,45531,IE00B3XXRP09,VUSA,GBP,London,TRUE
united kingdom,Vanguard FTSE 100 UCITS GBP Inc,Vanguard FTSE 100 UCITS GBP Inc,,vanguard-ftse-100,45746,IE00B810Q511,VUKE,GBP,London,TRUE
