country,name,full_name,tag,,id,currency,symbol,market
world,FTSE All World,FTSE All World,ftse-all-world,,961206,USD,FTAWORLDSR,global_indices
world,NQ Global,NASDAQ Global,nq-global,,957489,USD,NQGI,global_indices
world,BNY Mellon International 100 ADR,BNY Mellon International 100 ADR,bny-international-100-adr,,956137,USD,BKTADR,global_indices
world,DJ Global,Dow Jones Global,dj-global,,954766,USD,W1DOW,global_indices
world,The Global Dow EUR,The Global Dow EUR,the-global-dow-eur,,954697,EUR,GDOWE,global_indices
world,The Global Dow USD,The Global Dow USD,the-global-dow-usd,,954696,USD,GDOW,global_indices
world,MSCI World,MSCI World,msci-world,,942959,USD,MIWO00000PUS,global_indices
world,MSCI AC World Equity,MSCI All-Country World Equity Index,msci-world-stock,,941023,USD,MIWD00000PUS,global_indices
world,FTSE Global 100,FTSE Global 100,ftse-global-100,,49434,USD,FTMN1XR,global_indices
world,S&P Global 100,S&P Global 100,s-p-global-100,,27609,USD,OOI,global_indices
world,FTSE4Good Global 100,FTSE4Good Global 100,ftse4good-global-100,,961149,USD,FT4GDGLOB100,global_indices
world,MSCI EM Utilities,MSCI EM Utilities,msci-em-utilities,,943094,USD,MIEF0UT00PUS,global_indices
world,MSCI AC Asia Pacific x JP HC,MSCI AC Asia Pacific x JP HC,msci-ac-asia-pacific-x-jp-hc,,943027,USD,MIPFJHC00PUS,global_indices
world,MSCI AC Asia Pacific x JP Ut,MSCI AC Asia Pacific x JP Ut,msci-ac-asia-pacific-x-jp-ut,,943034,USD,MIPFJUT00PUS,global_indices
world,MSCI EM Industrials,MSCI EM Industrials,msci-em-industrials,,943090,USD,MIEF0IN00PUS,global_indices
world,MSCI EM Health Care,MSCI EM Health Care,msci-em-health-care,,943089,USD,MIEF0HC00PUS,global_indices
world,MSCI EM Financials,MSCI EM Financials,msci-em-financials,,943088,USD,MIEF0FN00PUS,global_indices
world,MSCI EM Energy,MSCI EM Energy,msci-em-energy,,943087,USD,MIEF0EN00PUS,global_indices
world,MSCI EAFE Utilities,MSCI EAFE Utilities,msci-eafe-utilities,,943064,USD,MIEA0UT00PUS,global_indices
world,MSCI EAFE Telecom,MSCI EAFE Telecom,msci-eafe-telecom,,943063,USD,MIEA0TC00PUS,global_indices
world,MSCI EAFE Industrials,MSCI EAFE Industrials,msci-eafe-industrials,,943060,USD,MIEA0IN00PUS,global_indices
world,MSCI EAFE Health Care,MSCI EAFE Health Care,msci-eafe-health-care,,943059,USD,MIEA0HC00PUS,global_indices
world,MSCI EAFE Financials,MSCI EAFE Financials,msci-eafe-financials,,943058,USD,MIEA0FN00PUS,global_indices
world,MSCI AC Asia Pacific x JP Fin,MSCI AC Asia Pacific x JP Fin,msci-ac-asia-pacific-x-jp-fin,,943029,USD,MIPFJFN00PUS,global_indices
world,MSCI Kokusai Utilities,MSCI Kokusai Utilities,msci-kokusai-utilities,,943052,USD,MIKO0UT00PUS,global_indices
world,MSCI Kokusai Health Care,MSCI Kokusai Health Care,msci-kokusai-health-care,,943048,USD,MIKO0HC00PUS,global_indices
world,MSCI Kokusai Financials,MSCI Kokusai Financials,msci-kokusai-financials,,943047,USD,MIKO0FN00PUS,global_indices
world,MSCI Kokusai Energy,MSCI Kokusai Energy,msci-kokusai-energy,,943046,USD,MIKO0EN00PUS,global_indices
world,MSCI World Utilities,MSCI World Utilities,msci-world-utilities,,943044,USD,MIWO0UT00PUS,global_indices
world,MSCI World Telecom,MSCI World Telecom,msci-world-telecom,,943043,USD,MIWO0TC00PUS,global_indices
world,MSCI World Industrials,MSCI World Industrials,msci-world-industrials,,943040,USD,MIWO0IN00PUS,global_indices
world,MSCI World Health Care,MSCI World Health Care,msci-world-health-care,,943039,USD,MIWO0HC00PUS,global_indices
world,MSCI World Financials,MSCI World Financials,msci-world-financials,,943038,USD,MIWO0FN00PUS,global_indices
world,MSCI World Energy,MSCI World Energy,msci-world-energy,,943037,USD,MIWO0EN00PUS,global_indices
world,MSCI Kokusai Telecom,MSCI Kokusai Telecom,msci-kokusai-telecom,,943051,USD,MIKO0TC00PUS,global_indices
world,DJ Islamic Market Financials,Dow Jones Islamic Market Financials,dj-islamic-market-financials,,954451,USD,DJIFIN,global_indices
world,DJ Islamic Market Health Care,Dow Jones Islamic Market Health Care,dj-islamic-market-health-care,,954462,USD,DJIHCR,global_indices
world,DJ Israel Select Health Care,Dow Jones Israel Select Health Care,dj-israel-select-health-care,,954467,ILS,DJILSHC,global_indices
world,DJ Emerging Markets Financials,Dow Jones Emerging Markets Financials,dj-emerging-markets-financials,,954824,USD,W5FIN,global_indices
world,DJ Emerging Markets Oil & Gas,Dow Jones Emerging Markets Oil & Gas,dj-emerging-markets-oil---gas,,954823,USD,W5ENE,global_indices
world,DJ Emerging Markets Basic Materials,Dow Jones Emerging Markets Basic Materials,dj-emerging-markets-basic-materials,,954820,USD,W5BSC,global_indices
world,DJ Dev Markets ex-US Utilities,Dow Jones Developed Markets ex-US Utilities,dj-dev-markets-ex-us-utilities,,954819,USD,W4UTI,global_indices
world,DJ Developed Markets ex-US Telecom,Dow Jones Developed Markets ex-US Telecommunications,dj-developed-markets-ex-us-telecom,,954818,USD,W4TLS,global_indices
world,DJ Dev Markets ex-US Technology,Dow Jones Developed Markets ex-US Technology,dj-dev-markets-ex-us-technology,,954817,USD,W4TEC,global_indices
world,DJ Dev Markets ex-US Health Care,Dow Jones Developed Markets ex-US Health Care,dj-dev-markets-ex-us-health-care,,954811,USD,W4HCR,global_indices
world,DJ Developed Markets ex-US Fin,Dow Jones Developed Markets ex-US Financials,dj-developed-markets-ex-us-fin,,954810,USD,W4FIN,global_indices
world,DJ Developed Markets ex-US Oil Gas,Dow Jones Developed Markets ex-US Oil & Gas,dj-developed-markets-ex-us-oil-gas,,954809,USD,W4ENE,global_indices
